archivo,inicio_s,fin_s,clase,theta_AF3,alpha_AF3,beta_AF3,alpha_beta_AF3,theta_T7,alpha_T7,beta_T7,alpha_beta_T7,theta_Pz,alpha_Pz,beta_Pz,alpha_beta_Pz,theta_T8,alpha_T8,beta_T8,alpha_beta_T8,theta_AF4,alpha_AF4,beta_AF4,alpha_beta_AF4,theta_prom,alpha_prom,beta_prom,alpha_beta_prom
3 (1).edf,0,10,1,8.896094200280195e-11,2.5730715909746974e-11,9.260457282877865e-12,2.7785578102413813,2.1794749482256853e-10,1.4845344833442937e-10,2.7656369290313055e-11,5.367785148371837,2.414810987093572e-11,9.807043492095445e-12,8.218970724810832e-12,1.1932203946767512,5.8089630178764306e-11,1.4805009009360757e-11,1.0294691894190088e-11,1.4381206510625257,8.389980310257868e-11,2.3549346892816876e-11,1.018898126806832e-11,2.3112562751115435,9.460919599552984e-11,4.446911272768989e-11,1.312389409205203e-11,3.3884083806056355
3 (1).edf,5,15,1,1.338548526142461e-10,1.8828797672612992e-11,6.984118671494244e-12,2.695944693703865,2.2115458397459285e-11,1.0529211326450927e-11,1.1758052901812316e-11,0.8954893649804907,2.3970805217067087e-11,1.0750504820450203e-11,6.679077353585641e-12,1.6095793253058865,8.091014779128884e-11,3.275317430037091e-11,1.2267966985460019e-11,2.6698127195149723,1.3470196338565718e-10,1.62485324709282e-11,6.9695673024905554e-12,2.331354554123013,7.91106454811437e-11,1.7822044118162644e-11,8.931756642968554e-12,1.9953571095326348
3 (1).edf,10,20,1,1.2539357224512336e-10,3.606768295363072e-11,7.046079131029875e-12,5.118830243446182,7.266739007041679e-11,3.1603666531316056e-11,1.0823911554964947e-11,2.9198008844426857,5.1353127160574644e-11,2.140009255291861e-11,6.863143552479143e-12,3.1181181610558544,1.0616209601870702e-10,2.6195400386799062e-11,1.008613900080167e-11,2.5971682905338693,1.0895656229536863e-10,3.034218978847044e-11,7.0088078141897675e-12,4.3291513468297405,9.290654955803809e-11,2.9121806442626977e-11,8.36561621069308e-12,3.481131061858057
3 (1).edf,15,25,1,9.232753415905277e-11,2.725621109961028e-11,5.644759436148667e-12,4.828586834908021,9.949576869447493e-11,4.5666769122158884e-11,1.1246365038231868e-11,4.060580371250205,1.8825742517197682e-11,1.8772324307855842e-11,4.7456424100315026e-12,3.955697181939848,6.471763906434364e-11,2.738153232536663e-11,8.92716576758741e-12,3.0672145043820063,9.73293464588536e-11,2.7655681917052997e-11,5.716384127224452e-12,4.837967726021416,7.453920617878452e-11,2.934650375440893e-11,7.256063355844779e-12,4.044411179344271
3 (1).edf,20,30,1,3.8395435323257905e-11,1.9355487955555855e-11,4.637362926484921e-12,4.173813493227527,2.224570518851564e-11,1.2119187143287953e-11,4.044932223775609e-12,2.9961409667269274,2.2395809298352724e-11,2.4308824189864405e-11,4.691389425642024e-12,5.1815831056356405,9.6062402199092e-11,3.175115752434508e-11,6.244878644128563e-12,5.0843514075645855,4.0875490383882554e-11,2.249940269929182e-11,5.251502380946361e-12,4.284374464139014,4.399496847862017e-11,2.2006811902469023e-11,4.974013120195497e-12,4.4243574294400085
3 (1).edf,25,35,1,2.047909431963463e-11,2.8568061689996773e-11,4.072971165170005e-12,7.014059400738318,1.6759981623340473e-11,7.331417691526345e-12,3.476821946681828e-12,2.108654916459908,1.1838798736555004e-11,1.6179484397492184e-11,3.3833584709053737e-12,4.782078085022607,1.50195854810333e-11,7.973226418449114e-12,4.106641995022846e-12,1.9415440713148306,2.4267568200137314e-11,3.2911968235480023e-11,3.9135750394488e-12,8.409693925305556,1.7673005672140142e-11,1.859283168658889e-11,3.790673723445771e-12,4.904888429618724
3 (1).edf,30,40,1,1.910572175711021e-11,2.908390022903368e-11,4.291295769592034e-12,6.777416843444151,1.6771703349422273e-11,8.537383557202138e-12,3.881238738261526e-12,2.1996543199056546,1.6254882237590838e-11,2.0426957493180467e-11,3.740121558333034e-12,5.461575827039356,1.4567900341946326e-11,1.0133480488520028e-11,4.573628654143266e-12,2.215632543612843,2.3991707494858723e-11,2.991545652215716e-11,4.302411141036478e-12,6.953184049944222,1.8138383036185674e-11,1.9619435658018693e-11,4.157739172273268e-12,4.718774998887593
3 (1).edf,35,45,1,1.325767743818277e-10,3.6874748327600815e-11,6.4875380700206075e-12,5.683935559160994,1.2266673223559722e-10,8.550574442684202e-11,1.7504872838763906e-11,4.884682408974297,1.5921315329726853e-11,1.4565147735887494e-11,4.9773950052930695e-12,2.926259161749992,2.5332854324694464e-11,1.518644722566506e-11,6.4881013801027974e-12,2.340661209801325,1.6093788616543925e-10,3.7933132822957756e-11,6.576741323177049e-12,5.767770231326852,9.14871124874571e-11,3.801304410779063e-11,8.406929723471486e-12,4.521632196075245
3 (1).edf,40,50,1,1.4849991398807443e-10,3.835445992221531e-11,6.5331228404593105e-12,5.870769746542652,1.1131101872884386e-10,4.813578332175692e-11,1.2205818875418721e-11,3.943675046554844,4.066811374688719e-11,2.669851194856999e-11,5.624617653697474e-12,4.746724771775216,4.291232462053932e-11,2.8446498537169585e-11,7.185687590692766e-12,3.9587719585826138,1.401178729951263e-10,3.498918485552002e-11,6.5163812277681434e-12,5.369419564715031,9.670184881589424e-11,3.5324887717046365e-11,7.613125637607283e-12,4.639997998003428
3 (1).edf,45,55,1,1.7329115366117853e-10,3.4536029624637064e-11,7.191697276125539e-12,4.802208477168137,1.1982338600423556e-10,2.4004582758280855e-11,1.0061784500715059e-11,2.3857182348295103,4.466809674986838e-11,2.166842084390997e-11,6.659715176210533e-12,3.253655790162424,4.926343493163705e-11,1.9493654649603625e-11,7.652797490271616e-12,2.547258655986172,1.6703379842971513e-10,3.2376096629104464e-11,7.511201919888929e-12,4.310374953890632,1.1081597395532692e-10,2.6415756901107195e-11,7.815439272642335e-12,3.379945257021522
